state,state_abbr,region,births,total_population,birth_rate,female_population,fertility_rate,percent_of_total_births,region_births,region_population,region_birth_rate,region_female_population,region_fertility_rate,region_percent_of_total_births,unemployment_rate,per_capita_personal_income_2018,per_capita_personal_income_2019,per_capita_personal_income_2020,per_capita_personal_income_2021,per_capita_personal_income_2022,per_capita_personal_income_2023,per_capita_personal_income_2024,high_school_acgr,two_year_student_share_2019,four_year_student_share_2019,two_year_student_share_2020,four_year_student_share_2020,two_year_student_share_2021,four_year_student_share_2021,two_year_student_share_2022,four_year_student_share_2022,two_year_student_share_2023,four_year_student_share_2023,two_year_student_share_2024,four_year_student_share_2024,four_year_appropriations_per_fte_2019,two_year_appropriations_per_fte_2019,four_year_net_tuition_revenue_per_fte_2019,two_year_net_tuition_revenue_per_fte_2019,four_year_appropriations_per_fte_2020,two_year_appropriations_per_fte_2020,four_year_net_tuition_revenue_per_fte_2020,two_year_net_tuition_revenue_per_fte_2020,four_year_appropriations_per_fte_2021,two_year_appropriations_per_fte_2021,four_year_net_tuition_revenue_per_fte_2021,two_year_net_tuition_revenue_per_fte_2021,four_year_appropriations_per_fte_2022,two_year_appropriations_per_fte_2022,four_year_net_tuition_revenue_per_fte_2022,two_year_net_tuition_revenue_per_fte_2022,four_year_appropriations_per_fte_2023,two_year_appropriations_per_fte_2023,four_year_net_tuition_revenue_per_fte_2023,two_year_net_tuition_revenue_per_fte_2023,four_year_appropriations_per_fte_2024,two_year_appropriations_per_fte_2024,four_year_net_tuition_revenue_per_fte_2024,two_year_net_tuition_revenue_per_fte_2024,population_18_to_24_yo_2018,population_18_to_24_yo_highschool_grad_2018,population_25_plus_yo_2018,population_25_plus_yo_highschool_grad_2018,population_18_to_24_yo_some_college_or_higher_2018,population_25_plus_yo_some_college_or_higher_2018,population_18_to_24_yo_2019,population_18_to_24_yo_highschool_grad_2019,population_25_plus_yo_2019,population_25_plus_yo_highschool_grad_2019,population_18_to_24_yo_some_college_or_higher_2019,population_25_plus_yo_some_college_or_higher_2019,population_18_to_24_yo_2020,population_18_to_24_yo_highschool_grad_2020,population_25_plus_yo_2020,population_25_plus_yo_highschool_grad_2020,population_18_to_24_yo_some_college_or_higher_2020,population_25_plus_yo_some_college_or_higher_2020,population_18_to_24_yo_2021,population_18_to_24_yo_highschool_grad_2021,population_25_plus_yo_2021,population_25_plus_yo_highschool_grad_2021,population_18_to_24_yo_some_college_or_higher_2021,population_25_plus_yo_some_college_or_higher_2021,population_18_to_24_yo_2022,population_18_to_24_yo_highschool_grad_2022,population_25_plus_yo_2022,population_25_plus_yo_highschool_grad_2022,population_18_to_24_yo_some_college_or_higher_2022,population_25_plus_yo_some_college_or_higher_2022,population_18_to_24_yo_2023,population_18_to_24_yo_highschool_grad_2023,population_25_plus_yo_2023,population_25_plus_yo_highschool_grad_2023,population_18_to_24_yo_some_college_or_higher_2023,population_25_plus_yo_some_college_or_higher_2023
Georgia,GA,South,750339.0,64588584.0,11.62,13290576.0,56.46,3.4,8821173.0,763063961.0,11.56,150408029.0,58.65,39.95,3.6,47261.0,48881.0,53532.0,58750.0,58262.0,60663.0,63154.0,84.0,0.309232589480326,0.368147474276069,0.314425714686817,0.361292746925804,0.313790281954407,0.362006814563769,0.260600130506247,0.301025571666765,0.255936776344511,0.295968504198506,0.262328883899461,0.29888367097772,8889.642593992765,6026.876611971343,5177.777890203404,2698.023434250058,9304.915507107135,6190.177319730724,5261.764702873906,2817.22969440396,8793.722649811527,6552.397792823464,4989.512580441731,2974.037141719234,12319.95825141794,8257.552951470687,5305.669418051173,2893.519283839268,12375.12976824872,8536.458905464762,5202.259452144222,2926.515505256355,11671.40176639279,7827.683342822187,4975.351519203364,2773.657710803968,1009642,327282,6786547,1890132,523305,3992501,1010328,334633,6888279,1909067,520926,4093714,1014840,336629,6996425,1925374,525849,4222398,1017562,346785,7075856,1925348,520762,4318519,1051160,367808,7158620,1943296,531647,4406685,1027458,370584,7253060,1950698,511508,4501038
Hawaii,HI,West,95517.0,8560256.0,11.16,1571913.0,60.76,0.43,5153390.0,471302990.0,10.93,94808378.0,54.36,23.34,2.9,52079.0,54616.0,59741.0,63928.0,64786.0,66995.0,70454.0,86.0,0.191874263788364,0.321975947482946,0.186307611856709,0.323418991741913,0.169086792601262,0.314336352366089,0.149022317142066,0.339846459087887,0.138717863804315,0.30125934603955,0.148564656533996,0.309156050674605,18346.91719682881,14599.83252361673,8605.000391504356,3427.985357624832,18054.14306799174,15150.82513357852,8521.363081767195,3430.909513566026,18993.85265216328,16412.80835219391,8613.647958934245,3304.135285098927,17777.34956572656,18347.90112155698,9050.4768712794,3181.916048160977,21060.48124568157,21763.70321914271,8989.444477346757,3475.361421931485,20158.91642136756,19293.87595021302,8929.191719345654,3335.107509815387,127161,50004,988367,273633,67938,634038,124451,49938,993005,271648,65377,641636,121404,49555,996423,272031,63289,649517,122056,49685,1020422,273929,63746,672025,122741,52106,1022529,272827,61376,675109,116812,50165,1027351,273812,57767,680589
Idaho,ID,West,132214.0,11172868.0,11.83,2177962.0,60.71,0.6,5153390.0,471302990.0,10.93,94808378.0,54.36,23.34,3.7,43942.0,46440.0,50857.0,57842.0,58274.0,59950.0,62471.0,80.0,0.35500374612009,0.490208079092098,0.362084575511613,0.52668677493812,0.339363878919839,0.533697668665926,0.331965077971654,0.550435037688614,0.312162231465766,0.529408407272579,0.30435390465008,0.518622183687562,8222.901186569048,5492.789143204375,7907.015450643777,3023.212477212882,8495.13143787575,5482.949786675418,8815.348096192385,3082.170856580243,8850.58054320734,5875.752536869165,9438.367268802836,2992.304086050602,8901.87960474106,6111.561485852219,10125.88180631288,3014.62893925171,9596.002005483348,6673.256036048154,10094.38746445979,3003.104041966507,9726.866765432098,6790.867639361424,9935.430148148149,2951.370910756346,159367,56085,1089266,301860,81897,684715,161047,57183,1115556,305181,82448,707446,164425,59675,1145344,305717,83418,739438,167590,63246,1185197,314521,81756,765993,187034,71136,1212296,319178,93069,789398,185810,71580,1244319,322573,91538,818176
Illinois,IL,Midwest,803600.0,75803621.0,10.6,14934897.0,53.81,3.64,4578485.0,411492814.0,11.13,79003664.0,57.95,20.73,4.8,56903.0,58328.0,63173.0,68959.0,69816.0,72744.0,75030.0,87.0,0.303775757055686,0.364187870884457,0.262839514801166,0.349845165470938,0.272655147781673,0.32438251365488,0.260057450318049,0.331156954346571,0.238774058241036,0.315090297074247,0.219575270309165,0.299894607617538,18149.74188891696,11419.09790140214,9904.92231164363,4982.367599297861,19169.84427176057,12695.93681572352,10031.12209498148,4526.821417579035,21029.92881216952,15345.38999602614,9740.984884569238,5752.428939825658,22064.86337566073,17241.19671847227,10630.722522632,6059.526730777996,22773.61919941376,18434.39508857198,10179.19546884065,5782.324386299893,24561.77506343786,20613.06702339302,10246.0538266345,5799.559638961574,1212593,350211,8682343,2267535,714422,5450221,1192806,349916,8686299,2254524,700870,5494733,1174031,352546,8686700,2220409,682964,5567953,1169584,358307,8764878,2226182,675513,5653375,1190741,380658,8746416,2215906,675081,5667774,1145167,379572,8738607,2207546,638169,5679738
Indiana,IN,Midwest,479716.0,40680271.0,11.79,7927380.0,60.51,2.17,4578485.0,411492814.0,11.13,79003664.0,57.95,20.73,3.9,47188.0,48727.0,53102.0,59797.0,60165.0,61943.0,64153.0,88.0,0.382934262000274,0.657572633755372,0.377177287070132,0.667373223935557,0.36810338247564,0.683609945887111,0.340504195416424,0.684439650338261,0.353355111468034,0.688960434683166,0.363928508121728,0.675676694071124,6196.726977652039,5138.773692363056,11464.81076605917,3128.740131115735,6107.683470272581,5246.473878695209,11734.48617909352,3117.277124745158,5868.818478157552,5417.856379630102,12036.9594015063,3094.551239514743,6367.411743036074,5789.058049417471,13172.73620108249,2934.630081231875,6329.996678422279,5476.906026557712,13403.01158279161,2945.517588100102,6766.259338707245,5436.943204073639,13526.61022383849,3069.965588777183,663318,210738,4399815,1475931,348844,2421260,662719,215401,4430493,1480084,346717,2455019,659700,224023,4466180,1482396,340559,2507359,658039,231999,4501214,1485995,333089,2554739,674851,243838,4532091,1495818,334872,2583019,656377,244351,4559304,1496214,319682,2617439
Iowa,IA,Midwest,220941.0,19075376.0,11.58,3613047.0,61.15,1.0,4578485.0,411492814.0,11.13,79003664.0,57.95,20.73,3.5,49815.0,50237.0,54978.0,60415.0,62643.0,62900.0,64243.0,90.0,0.548716867365305,0.680718121937639,0.50772055646054,0.673220586458897,0.495791339435006,0.66808137384433,0.487186456719213,0.669160567880259,0.490073387031007,0.673393566246005,0.494074849614989,0.681720029852408,6116.554013971281,4246.977026153497,13040.66859788213,5163.915424797778,6527.309525860831,4735.691240522665,13447.35612130611,4884.233586062268,6757.283648881239,5230.7717943272,13600.9702013021,5143.448649379236,6938.933724611939,5630.451680135276,14034.78660900456,5349.078314555929,7096.399298136162,5712.386838699556,14631.27831240739,5489.983646417507,7060.366961451946,5861.444210444211,15122.51485224787,5724.151417651417,321094,87035,2081373,648137,201176,1266527,317986,87211,2092785,648398,198106,1278873,316660,89028,2104864,647371,195839,1299092,317031,92321,2119884,648873,191644,1318631,327316,97371,2131202,652792,195522,1329765,318882,98705,2140476,649969,186762,1345388
Kansas,KS,Midwest,209203.0,17550902.0,11.92,3396536.0,61.59,0.95,4578485.0,411492814.0,11.13,79003664.0,57.95,20.73,3.8,51172.0,52709.0,56926.0,60655.0,63625.0,66637.0,68862.0,89.0,0.253414494889723,0.630046073218726,0.253399532225068,0.614312396692683,0.240086548115521,0.58057627336071,0.221753016847565,0.580053856026651,0.202706512217333,0.548527120474745,0.177378216852725,0.534453231821534,5535.908465435117,7987.414462614614,9427.869628770886,2711.178542395312,5891.673329256796,8504.321082074955,9384.092027822366,2886.404545810187,7052.573379827621,9825.146203417136,9409.9633396934,3104.150125068894,6733.825650110211,10480.61304829564,8953.40502238029,2986.336744226466,7787.899153920805,11080.29095557546,9271.964913000096,2817.089526473352,8916.393832385367,11923.47890596687,10077.48999919131,2571.005862414462,298556,84658,1894675,492819,178954,1226137,297303,87019,1902279,492807,175960,1237346,294657,87525,1911990,494226,173367,1252391,295997,89600,1921951,493339,172820,1267319,307990,97326,1926520,494733,175747,1273418,299455,97507,1933293,495115,167866,1281583
Kentucky,KY,South,315172.0,26961184.0,11.69,5122694.0,61.52,1.43,8821173.0,763063961.0,11.56,150408029.0,58.65,39.95,5.2,42085.0,43938.0,49826.0,54463.0,53375.0,55709.0,58200.0,90.0,0.445657934397111,0.604200305277073,0.427319342384356,0.603666826102048,0.424103224698073,0.581250175680529,0.411183290582004,0.567708004019124,0.378149713256463,0.541225235100107,0.388527332224669,0.54035963107119,6869.892549489128,5269.007503567647,10119.0121858417,4043.46671730424,7128.622145164453,5471.450230869955,10483.27664427175,3904.854310721095,7507.339973179286,5894.076837773233,10143.86643284506,4168.872544912393,8393.862447355612,6269.422087049863,10750.45578929547,4212.999233266031,9047.828055778236,6863.796335569145,10394.57038732543,4027.770714144802,9310.965406955751,6498.223090602771,10674.11815077326,3975.114376637963,424181,150237,3004004,991791,220701,1582640,420653,151057,3019093,993098,217269,1611211,419842,152107,3034491,990196,217317,1654653,418668,155992,3053564,1000507,214102,1676094,424346,162295,3067109,1003270,211784,1700392,409822,159510,3078157,1006715,203199,1718476
Louisiana,LA,South,344727.0,27742127.0,12.43,5509902.0,62.56,1.56,8821173.0,763063961.0,11.56,150408029.0,58.65,39.95,4.4,46069.0,47374.0,53096.0,57085.0,56735.0,59662.0,61827.0,83.0,0.521438033497231,0.489902069361027,0.512943412261895,0.484049449146701,0.520847036194059,0.495003610541291,0.49228985337404,0.460875000631831,0.454032120001152,0.486394742696379,0.44322556003303,0.462510702005896,5746.382957770955,3318.709382469657,5518.871442639502,3616.044348007705,5687.463764174579,3392.345052737318,5335.809211827532,3572.646568649833,5601.139953434788,3660.587406584528,5490.305590242252,3979.117829731367,6464.330452006431,4379.761356672795,5526.080787654771,4246.738203714065,6465.895975440515,4488.212476022022,6123.336481769628,3732.440497247203,6869.858571578598,4655.603685515632,5911.52814108105,3706.137355958575,447201,151257,3107941,1055768,220247,1580213,435859,149420,3125153,1061388,215264,1602059,427537,149367,3139520,1044356,211431,1650988,422367,149182,3133855,1036204,208119,1666056,436823,156385,3121146,1025458,217585,1681334,422108,153873,3110254,1012121,209494,1690733
Maine,ME,Northeast,71355.0,8186066.0,8.72,1430071.0,49.9,0.32,3527918.0,339127512.0,10.4,65420694.0,53.93,15.98,3.5,48226.0,50615.0,57112.0,61842.0,62792.0,65826.0,68918.0,86.0,0.284204060372394,0.532718807545084,0.281582833814102,0.525367298188433,0.247179348733303,0.516985393802404,0.217152825958553,0.509105596441807,0.117079828630508,0.471805408169465,0.147339705168463,0.466108817326375,7865.391619094896,7980.794331320986,8966.853603044594,3168.74409086258,8269.202762867724,8021.296530284798,9153.117130612076,3143.938527878059,8587.75650611972,9318.85837535014,9191.740005848198,3059.7318767507,9097.181325832318,10123.23528702364,9434.668415970444,2808.069343945972,10441.89768520583,11115.60291734198,9327.13790642701,1473.987034035657,11210.91091877497,9703.786537779355,9787.583311140701,1676.814384533523,110255,35412,967897,308013,62692,585458,108877,36112,974117,306589,60731,595543,107473,35977,982385,307457,60203,608403,107561,37128,994900,307382,58881,624911,110172,39467,1005961,311595,59381,634606,108888,38956,1016630,310243,58906,650356
