name,reasonClosure,kmeans_cluster,pca_component_1,pca_component_2,pca_component_3,pca_component_4,pca_component_5,tsne_x,tsne_y,lda_reason_component_1,lda_reason_component_2,lda_reason_component_3,lda_reason_component_4,lda_reason_component_5,lda_reason_component_6
Holy Names University,01,2,7.933171836498912,1.4865445636857422,0.37107761815545115,0.6450263246923088,-0.8387976139173705,428.66483,126.29792,4.993267964952039,-11.57688717711068,0.476465397231828,-3.4693689529656604,2.3476993808712767,-2.6895190626833028
Independence University,0,17,-2.276689238826688,1.3272810714168,2.559306903016775,-3.1428725029068834,0.577464859091219,-281.20413,-164.4808,-5.995297972807486,5.253634091920462,0.16482773874027234,3.153865505841677,3.362585341799969,0.06477862236644276
Indiana University-Purdue University Indianapolis,3,4,-2.8317222826164694,1.4363222790632721,8.40919135879813,-1.981546423141501,-0.3169215080221776,-277.603,-263.00458,-23.39845056987197,11.058393098931678,-7.419161245457574,-0.8759877876727232,-3.7489191396468664,-0.5283636414913199
Iowa Wesleyan University,0,1,-3.761539977504105,-0.06772545091594102,0.7433092352921229,0.2178803594430388,1.3678253728728555,-277.75317,-60.296856,-4.994512623208085,1.8548587120613311,0.8884487376398813,2.0606261612247865,4.028498305600312,0.7494218578457844
Johnson University Florida,01,8,1.8959665286891334,3.115354233669442,-1.0738933063351501,0.17081167991226595,1.3703999010421997,482.82806,1.8918998,2.3792513853949537,-11.233780135919682,-0.9704755797837331,-5.472090929512385,2.8507645482671,-0.7029295167378876
Judson College,0,7,-3.9163899067969696,2.5458003193672125,-0.6508446162743431,1.6215776329478788,1.2540634015512122,-325.02847,65.57211,-5.57793052905532,4.10460222723324,-0.8167603503863347,3.418266692406225,1.6526510554528182,0.024864479670449063
Lincoln Christian University,01,0,1.0351722911040744,-0.9010264239064875,-2.1963246893269757,-1.2500468454082245,1.7946624602687875,27.160204,242.84299,3.480000336130479,-10.323380983923714,-2.5334560361879763,-6.100073953107534,0.3387409451389017,0.034672768192972304
Lincoln College,012,0,0.9759716908372733,-0.85750968225501,-2.0467190756017186,-1.4911302923558842,1.926665715317436,-25.652105,-231.39351,63.91434382566886,29.44853288992457,3.2492908499408277,-1.3530098407741358,-1.6219439270373457,-0.25737433382211444
MacMurray College,0,0,0.9042445653822647,-0.9428056070003564,-2.1757260724143137,-1.2338920847943764,1.9996231612399984,42.668724,182.45366,-6.7106949892830885,5.01902407845291,0.9617243394850992,3.600282046746275,3.692235868359082,-1.3454005171938024
Magdalen College of the Liberal Arts,1,12,-3.0526872142220087,-4.233172113877271,-0.23503142336787816,1.2933949432682241,-1.2760899603634284,268.2759,-159.93182,23.93145785498169,-30.011529143035226,-1.5610140011327218,2.910735343770635,-3.0005076126810604,-0.04167424643474867
