name,yearEstablished,state,stateAbbreviation,locationType,locationTypeKind,typeOwned,typeProfit,level,hasUndergraduate,hasGraduate,totalEnrollment,hasReligionAffiliation,religionAffiliation,hasSpecialDemographic,specialDemographic,carnegieAward,carnegieProgram,yearClosed,isMerged,mergingInstitutionType,mergingInstitutionLocationType,mergingInstitutionReligiousAffiliation,reasonFinancial,reasonEnrollment,reasonPandemic,reasonMutualBenefit,region,stateBirths,statePopulation,stateBirthRate,stateFemalePopulation,stateFertilityRate,statePercentOfTotalBirths,regionBirths,regionPopulation,regionBirthRate,regionFemalePopulation,regionFertilityRate,regionPercentOfTotalBirths,stateUnemploymentRate,stateHighSchoolACGR,endowmentMedian,stateTwoYearStudentShareMedian,stateFourYearStudentShareMedian,stateTwoYearAppropriationsPerFTEMedian,stateFourYearAppropriationsPerFTEMedian,stateTwoYearNetTuitionRevenuePerFTEMedian,stateFourYearNetTuitionRevenuePerFTEMedian,statePopulation18to24yoMedian,statePopulation25yoAndOverMedian,statePopulation18to24yoHighSchoolGradMedian,statePopulation25yoAndOverHighSchoolGradMedian,statePopulation18to24yoSomeCollegeOrHigherMedian,statePopulation25yoAndOverSomeCollegeOrHigherMedian,statePerCapitaPersonalIncomeMedian,reasonClosure
UW Oshkosh - Fond du Lac Campus,1968,Wisconsin,WI,City,Small,Public,Nonprofit,2-year,False,True,245,False,None,False,None,Doctoral/Professional Universities,Arts & Sciences Focus,2024,FALSE,None,None,None,True,True,False,False,Midwest,369546,35168059,10.51,6601801,55.98,1.67,4578485,411492814,11.13,79003664,57.95,20.73,3.3,90,-1.0,0.1544680119948645,0.6092728988747695,13814.16554472104,6027.145088168825,2499.69837870696,9046.426413822977,313717.5,2507124.5,179977.5,1210502.5,313717.5,2507124.5,62713,01
UW Green Bay - Marinette Campus,1935,Wisconsin,WI,City,Midsize,Public,Nonprofit,2-year,False,True,173,False,None,False,None,Master's Colleges & Universities,Medium Programs,2024,FALSE,None,None,None,True,True,False,False,Midwest,369546,35168059,10.51,6601801,55.98,1.67,4578485,411492814,11.13,79003664,57.95,20.73,3.3,90,-1.0,0.1544680119948645,0.6092728988747695,13814.16554472104,6027.145088168825,2499.69837870696,9046.426413822977,313717.5,2507124.5,179977.5,1210502.5,313717.5,2507124.5,62713,01
UW Milwaukee - Waukesha Campus,1966,Wisconsin,WI,City,Large,Public,Nonprofit,2-year,False,True,2155,False,None,False,None,Doctoral Universities,Very High Research Activity,2025,FALSE,None,None,None,False,True,False,False,Midwest,369546,35168059,10.51,6601801,55.98,1.67,4578485,411492814,11.13,79003664,57.95,20.73,3.3,90,-1.0,0.1544680119948645,0.6092728988747695,13814.16554472104,6027.145088168825,2499.69837870696,9046.426413822977,313717.5,2507124.5,179977.5,1210502.5,313717.5,2507124.5,62713,1
UW Milwaukee - Washington Campus,1968,Wisconsin,WI,City,Large,Public,Nonprofit,2-year,False,True,279,False,None,False,None,Doctoral Universities,Very High Research Activity,2024,FALSE,None,None,None,True,True,False,False,Midwest,369546,35168059,10.51,6601801,55.98,1.67,4578485,411492814,11.13,79003664,57.95,20.73,3.3,90,-1.0,0.1544680119948645,0.6092728988747695,13814.16554472104,6027.145088168825,2499.69837870696,9046.426413822977,313717.5,2507124.5,179977.5,1210502.5,313717.5,2507124.5,62713,01
Wave Leadership College,1999,Virginia,VA,Suburb,Large,Private,Nonprofit,2-year,True,False,33,True,Christian,False,None,Associate's Colleges,Diverse Fields,2022,FALSE,None,None,None,False,True,True,False,South,576125,51685358,11.15,10227966,56.33,2.61,8821173,763063961,11.56,150408029,58.65,39.95,3.3,89,-1.0,0.375968201397862,0.5967190879632135,5887.351002562328,7735.673583167743,3434.937548253163,11163.82781053722,465167.5,3907980.0,264842.5,1397655.0,465167.5,3907980.0,69013,12
Wesley College,1873,Delaware,DE,City,Midsize,Private,Nonprofit,4-year,True,True,1066,True,United Methodist Church,False,None,Baccalaureate Colleges,Diverse Fields,2021,TRUE,public,City: Small,None,True,True,False,False,South,63300,5981414,10.58,1108192,57.12,0.29,8821173,763063961,11.56,150408029,58.65,39.95,3.9,88,3281329.0,0.3257528308342435,0.810098810620962,11362.96196828775,6281.023136162159,5695.270358574548,25026.32205109629,44716.0,411965.5,28829.0,209003.0,44716.0,411965.5,62987,01
Woodbury University,1884,California,CA,City,Large,Private,Nonprofit,4-year,True,True,943,False,None,False,None,Master's Colleges & Universities,Small Programs,2024,TRUE,private nonprofit,City: Small,American Baptist Churches USA,True,True,False,False,West,2561478,235669717,10.87,48016877,53.35,11.6,5153390,471302990,10.93,94808378,54.36,23.34,5.3,87,19962071.00100705,0.05487389332183736,0.3795263519464645,13308.35406524026,11650.33372158801,779.8225717262221,7331.057819469797,2156095.5,17015550.5,1171061.5,5454269.5,2156095.5,17015550.5,78356,01
Oak Point University,1914,Illinois,IL,Suburb,Large,Private,Nonprofit,4-year,True,True,429,False,None,False,None,Special Focus Four-Year,Other Health Professions Schools,2024,FALSE,None,None,None,False,True,False,False,Midwest,803600,75803621,10.6,14934897,53.81,3.64,4578485,411492814,11.13,79003664,57.95,20.73,4.8,87,-1.0,0.2614484825596075,0.3277697340007255,16293.29335724921,21547.39609391513,5767.376663062776,10105.15878191106,679238.5,5610664.0,355426.5,2223295.5,679238.5,5610664.0,68959,1
Birmingham-Southern College,1918,Alabama,AL,City,Midsize,Private,Nonprofit,4-year,True,True,975,True,United Methodist Church ,False,None,Baccalaureate Colleges,Arts & Sciences Focus,2024,FALSE,None,None,None,True,False,False,False,South,348084,29935229,11.63,5816314,59.85,1.58,8821173,763063961,11.56,150408029,58.65,39.95,3.3,88,53551212.5,0.385234199314908,0.7317350437260854,8568.466691381636,6978.777830698889,5086.443237800877,16444.21279930995,247350.5,1916632.0,158047.0,1032024.0,247350.5,1916632.0,52798,0
Tulsa Community College at Owasso,1970,Oklahoma,OK,City,Large,Public,Nonprofit,2-year,True,False,14391,False,None,False,None,Associate's Colleges,Mixed Transfer/Career & Technical-High Traditional,2024,TRUE,public,City: Midsize,None,False,True,False,False,South,291217,23941096,12.16,4723856,61.65,1.32,8821173,763063961,11.56,150408029,58.65,39.95,3.2,87,10855494.79589843,0.3670348379739435,0.608206955210705,6234.708696928844,6199.11353570489,3428.660077824154,9826.87141178799,192374.0,1505336.0,134979.0,809270.5,192374.0,1505336.0,56502,1
Wells College,1868,New York,NY,Rural,Distant,Private,Nonprofit,4-year,True,False,357,False,None,False,None,Baccalaureate Colleges,Arts & Sciences Focus,2024,FALSE,None,None,None,True,False,False,False,Northeast,1279243,117416826,10.89,23255110,55.01,5.79,3527918,339127512,10.4,65420694,53.93,15.98,4.2,87,30982146.5,0.3107334461637395,0.323873746043261,11111.58438344308,14514.21574154884,4968.842112049599,7115.076496623979,1126667.0,8594351.5,497059.0,3517833.0,1126667.0,8594351.5,78501,0
Eastern Nazarene College,1900,Massachusetts,MA,Suburb,Large,Private,Nonprofit,4-year,True,True,535,True,Church of the Nazarene,False,None,Master's Colleges & Universities,Small Programs,2024,FALSE,None,None,None,True,False,False,False,Northeast,409468,41656322,9.83,8419406,48.63,1.85,3527918,339127512,10.4,65420694,53.93,15.98,4.6,90,19405545.9003448,0.2544292577046095,0.4148976448019415,11369.39563114195,12392.1215858976,3823.431200918245,8164.798012621362,433897.0,3292373.5,194673.5,1135221.5,433897.0,3292373.5,85585,0
Cox College,1907,Missouri,MO,City,Midsize,Private,Nonprofit,4-year,True,True,852,False,None,False,None,Special Focus Four-Year,Other Health Professions Schools,2025,TRUE,public,City: Small,None,True,False,False,False,Midwest,420242,36957728,11.37,7119267,59.03,1.9,4578485,411492814,11.13,79003664,57.95,20.73,3.9,90,-1.0,0.259383629198724,0.538452491894517,9476.019711568495,7348.16117426454,3158.651053935421,8110.752685748,318494.5,2520719.5,185163.0,1276294.0,318494.5,2520719.5,59202,0
University of Wisconsin–Platteville Richland,1967,Wisconsin,WI,Town,Distant,Public,Nonprofit,4-year,True,True,6486,False,None,False,None,Master's Colleges & Universities,Larger Programs,2024,FALSE,None,None,None,False,True,False,False,Midwest,369546,35168059,10.51,6601801,55.98,1.67,4578485,411492814,11.13,79003664,57.95,20.73,3.3,90,-1.0,0.1544680119948645,0.6092728988747695,13814.16554472104,6027.145088168825,2499.69837870696,9046.426413822977,313717.5,2507124.5,179977.5,1210502.5,313717.5,2507124.5,62713,1
Maryland University of Integrative Health,1974,Maryland,MD,Suburb,Large,Private,Nonprofit,graduate school,False,True,701,False,None,False,None,Special Focus Four-Year,Other Health Professions Schools,2025,TRUE,private nonprofit,City: Large,Catholic,False,False,False,True,South,412473,36654242,11.25,7192645,57.35,1.87,8821173,763063961,11.56,150408029,58.65,39.95,3.1,86,-1.0,0.2895537069413555,0.5246829620954785,11740.29589325072,10549.41087891471,4758.870615158301,11787.15972697968,306338.5,2800406.0,166310.5,1014233.5,306338.5,2800406.0,71897,3
B. H. Carroll Theological Seminary,2004,Texas,TX,City,Midsize,Private,Nonprofit,seminary ,False,True,450,False,None,False,None,Doctoral/Professional Universities,Faith-Related Institutions,2025,TRUE,private nonprofit,Town: Distant,Baptist,False,False,False,True,South,2275693,177119299,12.85,36976634,61.54,10.31,8821173,763063961,11.56,150408029,58.65,39.95,4.1,90,-1.0,0.196942172054541,0.6452423595423484,8916.696762135041,6184.249837807764,2058.177589679638,11149.69767363265,1456559.0,11117876.0,955436.0,4561326.5,1456559.0,11117876.0,62015,3
