name,yearEstablished,state,stateAbbreviation,locationType,locationTypeKind,typeOwned,typeProfit,level,hasUndergraduate,hasGraduate,totalEnrollment,hasReligionAffiliation,religionAffiliation,hasSpecialDemographic,specialDemographic,carnegieAward,carnegieProgram,yearClosed,isMerged,mergingInstitutionPopulation,mergingInstitutionType,mergingInstitutionLocationType,mergingInstitutionReligiousAffiliation,reasonFinancial,reasonEnrollment,reasonPandemic,reasonMutualBenefit,region,stateBirths,statePopulation,stateBirthRate,stateFemalePopulation,stateFertilityRate,statePercentOfTotalBirths,regionBirths,regionPopulation,regionBirthRate,regionFemalePopulation,regionFertilityRate,regionPercentOfTotalBirths,stateUnemploymentRate,stateHighSchoolACGR,endowmentMedian,stateTwoYearStudentShareMedian,stateFourYearStudentShareMedian,stateTwoYearAppropriationsPerFTEMedian,stateFourYearAppropriationsPerFTEMedian,stateTwoYearNetTuitionRevenuePerFTEMedian,stateFourYearNetTuitionRevenuePerFTEMedian,statePopulation18to24yoMedian,statePopulation25yoAndOverMedian,statePopulation18to24yoHighSchoolGradMedian,statePopulation25yoAndOverHighSchoolGradMedian,statePopulation18to24yoSomeCollegeOrHigherMedian,statePopulation25yoAndOverSomeCollegeOrHigherMedian,statePerCapitaPersonalIncomeMedian
Johnson University Florida,1893,Florida,FL,Suburb,Large,Private,Nonprofit,4-year,TRUE,TRUE,155,TRUE,Christian Churches and Churches of Christ,FALSE,None,Special Focus Four-Year,Faith-Related Institutions,2024,FALSE,None,None,None,None,TRUE,TRUE,FALSE,FALSE,South,1313318,131147051,10.01,23772622,55.24,5.95,8821173,763063961,11.56,150408029,58.65,39.95,3.7,87,1707560.0,0.32594230081904496,0.1566433926291635,5331.271034996111,11773.0667474637,2591.0658041599618,2156.1578553929285,948202.0,9289421.0,558375.0,4295735.5,948202.0,9289421.0,64409.0
Judson College,1838,Alabama,AL,City,Midsize,Private,Nonprofit,4-year,TRUE,FALSE,80,TRUE,Baptist,FALSE,None,Baccalaureate Colleges,Arts & Sciences Focus,2021,FALSE,None,None,None,None,TRUE,FALSE,FALSE,FALSE,South,348084,29935229,11.63,5816314,59.85,1.58,8821173,763063961,11.56,150408029,58.65,39.95,3.3,88,15388964.0,0.385234199314908,0.7317350437260854,8568.466691381636,6978.777830698889,5086.443237800877,16444.21279930995,247350.5,1916632.0,158047.0,1032024.0,247350.5,1916632.0,52798.0
Lincoln Christian University,1944,Illinois,IL,Town,Distant,Private,Nonprofit,4-year,TRUE,TRUE,258,TRUE,Christian Churches and Churches of Christ,FALSE,None,Master's Colleges & Universities,Small Programs,2024,TRUE,689,private nonprofit,City: Small,Restoration Movement of Christian Churches; Churches of Christ,TRUE,TRUE,FALSE,FALSE,Midwest,803600,75803621,10.6,14934897,53.81,3.64,4578485,411492814,11.13,79003664,57.95,20.73,4.8,87,5404123.5,0.2614484825596075,0.3277697340007255,16293.293357249206,21547.396093915126,5767.376663062776,10105.158781911065,679238.5,5610664.0,355426.5,2223295.5,679238.5,5610664.0,68959.0
Lincoln College,1865,Illinois,IL,Town,Distant,Private,Nonprofit,4-year,TRUE,FALSE,888,FALSE,None,TRUE,Predominantly Black Institution,Baccalaureate/Associates Colleges,Mixed Baccalaureate/Associates,2022,FALSE,None,None,None,None,TRUE,TRUE,TRUE,FALSE,Midwest,803600,75803621,10.6,14934897,53.81,3.64,4578485,411492814,11.13,79003664,57.95,20.73,4.8,87,20579822.5,0.2614484825596075,0.3277697340007255,16293.293357249206,21547.396093915126,5767.376663062776,10105.158781911065,679238.5,5610664.0,355426.5,2223295.5,679238.5,5610664.0,68959.0
MacMurray College,1846,Illinois,IL,Rural,Remote,Private,Nonprofit,4-year,TRUE,TRUE,588,TRUE,United Methodist Church,FALSE,None,Baccalaureate Colleges,Diverse Fields,2020,FALSE,None,None,None,None,TRUE,FALSE,FALSE,FALSE,Midwest,803600,75803621,10.6,14934897,53.81,3.64,4578485,411492814,11.13,79003664,57.95,20.73,4.8,87,15066671.0,0.2614484825596075,0.3277697340007255,16293.293357249206,21547.396093915126,5767.376663062776,10105.158781911065,679238.5,5610664.0,355426.5,2223295.5,679238.5,5610664.0,68959.0
Magdalen College of the Liberal Arts,1973,New Hampshire,NH,Rural,Distant,Private,Nonprofit,4-year,TRUE,FALSE,59,TRUE,Roman Catholic,FALSE,None,Baccalaureate Colleges,Arts & Sciences Focus,2024,FALSE,None,None,None,None,FALSE,TRUE,FALSE,FALSE,Northeast,72263,8268721,8.74,1497455,48.26,0.33,3527918,339127512,10.4,65420694,53.93,15.98,3.1,88,,0.4202344630578275,0.795080589633126,7828.965195297479,3528.50509513986,5721.4801357736505,13581.59701207327,72538.0,647354.5,41456.0,267147.5,72538.0,647354.5,74338.0
Marlboro College,1946,Vermont,VT,Rural,Distant,Private,Nonprofit,4-year,TRUE,TRUE,154,FALSE,None,FALSE,None,Baccalaureate Colleges,Arts & Sciences Focus,2020,TRUE,5891,private nonprofit,City: Large,None,FALSE,TRUE,FALSE,FALSE,Northeast,31691,3813733,8.31,704655,44.97,0.14,3527918,339127512,10.4,65420694,53.93,15.98,2.7,83,36676343.5,0.5216166500944125,0.8088723161185425,5892.327939161194,5506.106571150871,6425.221349175929,19466.46266265964,39227.5,293930.0,22188.0,126764.5,39227.5,293930.0,64176.0
Martin Methodist College (UT Southern),1870,Tennessee,TN,Town,Distant,Private,Nonprofit,4-year,TRUE,TRUE,885,FALSE,None,FALSE,None,Baccalaureate Colleges,Diverse Fields,2021,TRUE,49000,public,Varies,None,FALSE,FALSE,FALSE,TRUE,South,486893,41639064,11.69,8166631,59.62,2.21,8821173,763063961,11.56,150408029,58.65,39.95,3.5,90,,0.10014146546176805,0.48586278925239346,9470.300768417346,10080.282055288246,1089.8716527542638,9069.128216591747,328058.0,2657985.5,220804.0,1482730.5,328058.0,2657985.5,59954.0
Marymount California University,1932,California,CA,Suburb,Large,Private,Nonprofit,4-year,TRUE,FALSE,514,TRUE,Roman Catholic,FALSE,None,Baccalaureate Colleges,Diverse Fields,2022,FAILED,10242,private nonprofit,Suburb: Small,Roman Catholic,TRUE,TRUE,TRUE,FALSE,West,2561478,235669717,10.87,48016877,53.35,11.6,5153390,471302990,10.93,94808378,54.36,23.34,5.3,87,12649877.0,0.054873893321837355,0.3795263519464645,13308.354065240255,11650.33372158801,779.8225717262221,7331.057819469797,2156095.5,17015550.5,1171061.5,5454269.5,2156095.5,17015550.5,78356.0
Medaille University,1937,New York,NY,City,Large,Private,Nonprofit,4-year,TRUE,TRUE,2937,FALSE,None,FALSE,None,Master's Colleges & Universities,Larger Programs,2023,FALSE,None,None,None,None,TRUE,TRUE,FALSE,FALSE,Northeast,1279243,117416826,10.89,23255110,55.01,5.79,3527918,339127512,10.4,65420694,53.93,15.98,4.2,87,1988890.0,0.31073344616373955,0.323873746043261,11111.584383443082,14514.215741548844,4968.842112049599,7115.0764966239785,1126667.0,8594351.5,497059.0,3517833.0,1126667.0,8594351.5,78501.0
Mills College,1852,California,CA,City,Large,Private,Nonprofit,4-year,TRUE,TRUE,817,FALSE,None,FALSE,None,Masters Colleges & Universities,Larger Programs,2022,TRUE,30013,private nonprofit,City: Large,None,TRUE,FALSE,FALSE,FALSE,West,2561478,235669717,10.87,48016877,53.35,11.6,5153390,471302990,10.93,94808378,54.36,23.34,5.3,87,193841296.0,0.054873893321837355,0.3795263519464645,13308.354065240255,11650.33372158801,779.8225717262221,7331.057819469797,2156095.5,17015550.5,1171061.5,5454269.5,2156095.5,17015550.5,78356.0
