index,uid,name,year_established,state,state_abbr,zip,location_type,location_type_kind,public_private,type,level,has_undergrad,has_grad,total_enrollment,has_religion_affiliation,religion_affiliation,has_special_demographic,special_demographic,carnegie_classification,carnegie_classification_2,year_closed,is_merged,merging_institution,merging_institution_population,merging_institution_type,merging_institution_zip,merging_institution_location_type,merging_institution_religious_affiliation,reason_financial,reason_enrollment,reason_pandemic,reason_mutual_benefit,reason_for_closure,endowment_median_2018,endowment_median_2019,endowment_median_2020,endowment_median_2021,endowment_median_2022,endowment_median_2023,endowment_median_2024
29,118541.0,Marymount California University,1932,California,CA,90275,Suburb,Large,Private,Nonprofit,4-year,,,514.0,1,Roman Catholic,0,,Baccalaureate Colleges,Diverse Fields,2022,Failed,Saint Leo University,10242,private nonprofit,33574,Suburb: Small,Roman Catholic,1,1,1,0,"Enrollment, Financial, Pandemic, failed merger",12360679.0,12939075.0,13175412.0,10860257.0,0.0,0.0,0.0
30,192925.0,Medaille University,1937,New York,NY,14214,City,Large,Private,Nonprofit,4-year,,,2937.0,0,,0,,Master's Colleges & Universities,Larger Programs,2023,No,,,,,,,1,1,0,0,"Enrollment, Financial",1470738.0,1506637.0,1988890.0,2323787.0,2095463.0,0.0,0.0
31,118888.0,Mills College,1852,California,CA,94613,City,Large,Private,Nonprofit,4-year,,,817.0,0,,0,,Master's Colleges & Universities,Larger Programs,2022,Yes,Northeastern University,30013,private nonprofit,2115,City: Large,,1,0,0,0,Financial ,191278617.0,196403975.0,187318992.0,225622133.0,0.0,0.0,0.0
32,209287.0,Multnomah University,1936,Oregon,OR,97220,City,Large,Private,Nonprofit,4-year,,,655.0,0,,0,,Special Focus Institutions,Diverse Fields,2024,Yes,William Jessup University,1624,private nonprofit,95765,Rural: Fringe,Christian,1,0,0,0,Financial,7005000.0,7850000.0,7888000.0,8740000.0,7806000.0,7233399.99890136,0.0
33,,Nebraska Christian College,1945,Nebraska,NE,68046,Suburb,Large,Private,Nonprofit,4-year,,,85.0,1,Christian churches and churches of Christ,0,,Special Focus Four-Year,Faith-Related Institutions,2020,No,,,,,,,1,1,0,0,"Enrollment, Financial",,,,,,,
34,204468.0,Notre Dame College,1922,Ohio,OH,44121,Suburb,Large,Private,Nonprofit,4-year,,,1400.0,1,Catholic,0,,Baccalaureate Colleges,Diverse Fields,2024,No,,,,,,,1,0,0,0,Financial,10033782.0,10628189.0,10567009.0,13516952.0,9241315.0,7824115.59912109,0.0
35,237640.0,Ohio Valley University,1960,West Virginia,WV,26105,City,Small,Private,Nonprofit,4-year,,,273.0,1,Church of Christ,0,,Baccalaureate Colleges,Diverse Fields,2021,No,,,,,,,1,0,0,0,Financial,1998173.0,4583080.0,2014174.0,0.0,0.0,0.0,0.0
36,209603.0,Pacific Northwest College of Art,1909,Oregon,OR,97209,City,Large,Private,Nonprofit,4-year,,,481.0,0,,0,,Special Focus Four-Year,"Arts, Music & Design Schools",2021,Yes,Willamette University,1909,private nonprofit,97301,City: Midsize,,0,0,0,1,Mutual Benefit,,,,,,,
37,442356.0,Pennsylvania College of Health Sciences,1903,Pennsylvania,PA,17601,Suburb,Large,Private,Nonprofit,2-year,,,1816.0,0,,0,,Special Focus Four-Year,Other Health Professions Schools,2024,Yes,Saint Joseph's University,7861,private nonprofit,19131,City: Large,Jesuit,0,0,0,1,Mutual Benefit,5946947.0,7343381.0,9188957.0,14115871.0,13495858.0,16103518.4010009,0.0
38,167455.0,Pine Manor College,1911,Massachusetts,MA,2467,Suburb,Large,Private,Nonprofit,4-year,,,249.0,0,,0,,Baccalaureate Colleges,Arts & Sciences Focus,2020,Yes,Boston College,15287,private nonprofit,2467,City: Small,,1,0,0,0,Financial,9607790.0,9621706.0,9313687.0,12871750.0,0.0,0.0,0.0
39,219295.0,Presentation College,1951,South Dakota,SD,57401,Town,Remote,Private,Nonprofit,4-year,,,694.0,1,Roman Catholic,0,,Special Focus Four-Year,Other Health Professions Schools,2023,No,,,,,,,1,0,0,0,Financial,13047759.0,12164746.0,12494454.0,14168358.0,15081912.0,0.0,0.0
40,486433.0,Presidio Graduate School,2003,California,CA,94129,City,Large,Private,Nonprofit,graduate school,,,197.0,0,,1,Sustainability,Special Focus Four-Year,Business & Management Schools,2023,Yes,University of Redlands,3460,private nonprofit,92373,City: Small,American Baptist Churches USA,1,0,0,0,Financial,,,,,,,
41,214564.0,Salus University,1919,Pennsylvania,PA,19027,Suburb,Large,Private,Nonprofit,graduate school,,,1165.0,0,,0,,Special Focus Four-Year,Other Health Professions Schools,2024,Yes,Drexel University,22344,private nonprofit,19104,City: Large,,0,0,0,1,Mutual Benefit,24807417.0,46264055.0,46617036.0,57407928.0,50772437.0,41222774.9785156,0.0
42,122454.0,San Francisco Art Institute,1871,California,CA,94133,City,Large,Private,Nonprofit,4-year,,,70.0,0,,0,,Special Focus Four-Year,"Arts, Music & Design Schools",2022,No,,,,,,,1,0,0,0,Financial,10453377.0,10324429.0,6276219.0,3983198.0,0.0,0.0,0.0
43,182458.0,Sierra Nevada University,1969,Nevada,NV,89451,Town,Distant,Private,Nonprofit,4-year,,,631.0,0,,0,,Master's Colleges & Universities,Medium Programs,2022,Yes,University of Nevada (Reno),20945,public,89557,City: Large,,0,1,1,0,"Enrollment, Pandemic",4382400.0,4625250.0,6087055.0,7215335.0,0.0,0.0,0.0
44,148876.0,St. Augustine College,1980,Illinois,IL,60640,City,Large,Private,Nonprofit,2-year,,,680.0,1,Episcopalian,1,Biligual (Spanish),Baccalaureate/Associate's Colleges,Mixed Baccalaureate/Associate's,2024,Yes,Lewis University,6513,private nonprofit,60446,Suburb: Large,Lasallian,0,0,0,1,Mutual Benefit,114162.0,133928.0,122863.0,154116.0,154117.0,167260.600007057,0.0
45,19580901.0,St. John's University -- Staten Island,1933,New York,NY,10301,City,Large,Private,Nonprofit,4-year,,,861.0,1,Catholic,0,,Special Focus Four-Year,Diverse Fields,2024,No,,,,,,,0,1,0,0,Enrollment,,,,,,,
46,179256.0,St. Louis Christian College,1956,Missouri,MO,63033,Suburb,Large,Private,Nonprofit,4-year,,,62.0,1,Christian Churches and Churches of Christ,0,,Special Focus Four-Year,Faith-Related Institutions,2022,Yes,Central Christian College of the Bible,190,private nonprofit,65270,Town: Distant,,0,1,0,0,Enrollment,1120476.0,1091879.0,1108981.0,1087348.0,0.0,0.0,0.0
47,195234.0,The College of Saint Rose,1920,New York,NY,12203,City,Small,Private,Nonprofit,4-year,,,2786.0,1,Catholic,0,,Master's Colleges & Universities,Larger Programs,2024,No,,,,,,,1,0,0,0,Financial,44730531.0,44960904.0,38815266.0,44047118.0,40115923.0,41018224.8035888,0.0
48,215132.0,University of the Sciences,1821,Pennsylvania,PA,19104,City,Large,Private,Nonprofit,4-year,,,2420.0,0,,0,,Special Focus Four-Year,Other Health Professions Schools,2022,Yes,Saint Joseph's University,7861,private nonprofit,19131,City: Large,,0,0,0,1,Mutual Benefit,171782269.0,162149152.0,145646092.0,164885128.0,0.0,0.0,0.0
49,,Urbana University,1850,Ohio,OH,43078,Town,Distant,Private,Nonprofit,4-year,,,1254.0,0,,0,,Baccalaureate Colleges,Diverse Fields,2020,No,,,,,,,1,0,1,0,"Financial, Pandemic",,,,,,,
50,240365.0,UW Oshkosh - Fond du Lac Campus,1968,Wisconsin,WI,54935,City,Small,Public,Nonprofit,2-year,,,245.0,0,,0,,Doctoral/Professional Universities,Arts & Sciences Focus,2024,No,,,,,,,1,1,0,0,"Enrollment, Financial",,,,,,,
51,240277.0,UW Green Bay - Marinette Campus,1935,Wisconsin,WI,54143,City,Midsize,Public,Nonprofit,2-year,,,173.0,0,,0,,Master's Colleges & Universities,Medium Programs,2024,No,,,,,,,1,1,0,0,"Enrollment, Financial",,,,,,,
52,240453.0,UW Milwaukee - Waukesha Campus,1966,Wisconsin,WI,53188,City,Large,Public,Nonprofit,2-year,,,2155.0,0,,0,,Doctoral Universities,Very High Research Activity,2025,No,,,,,,,0,1,0,0,Enrollment,,,,,,,
53,240453.0,UW Milwaukee - Washington Campus,1968,Wisconsin,WI,53095,City,Large,Public,Nonprofit,2-year,,,279.0,0,,0,,Doctoral Universities,Very High Research Activity,2024,No,,,,,,,1,1,0,0,"Enrollment, Financial",,,,,,,
54,,Wave Leadership College,1999,Virginia,VA,23454,Suburb,Large,Private,Nonprofit,2-year,1.0,0.0,33.0,1,Christian,0,,,,2022,No,,,,,,,0,1,1,0,"Enrollment, Pandemic",,,,,,,
55,131098.0,Wesley College,1873,Delaware,DE,19901,City,Midsize,Private,Nonprofit,4-year,,,1066.0,1,United Methodist Church,0,,Baccalaureate Colleges,Diverse Fields,2021,Yes,Delaware State University,5826,public,19901,City: Small,,1,1,0,0,"Enrollment, Financial",3281329.0,3450244.0,3157250.0,0.0,0.0,0.0,0.0
56,125897.0,Woodbury University,1884,California,CA,91504,City,Large,Private,Nonprofit,4-year,,,943.0,0,,0,,Master's Colleges & Universities,Small Programs,2024,Yes,University of Redlands,3460,private nonprofit,92373,City: Small,American Baptist Churches USA,1,1,0,0,"Enrollment, Financial",22197101.0,19813990.0,20070284.0,23307341.0,19155677.0,19853858.0020141,0.0
57,149763.0,Oak Point University,1914,Illinois,IL,60523,Suburb,Large,Private,Nonprofit,4-year,1.0,1.0,429.0,0,,0,,Special Focus Four-Year,Other Health Professions Schools,2024,No,,,,,,,0,1,0,0,Enrollment,,,,,,,
58,100937.0,Birmingham-Southern College,1918,Alabama,AL,35254,City,Midsize,Private,Nonprofit,4-year,,,975.0,1,United Methodist Church ,0,,Baccalaureate Colleges,Arts & Sciences Focus,2024,No,,,,,,,1,0,0,0,Financial,56701074.0,53117638.0,49403369.0,53984787.0,50831353.0,54123801.8071289,0.0
59,207935.0,Tulsa Community College at Owasso,1970,Oklahoma,OK,74055,City,Large,Public,Nonprofit,2-year,,,14391.0,0,,0,,Associate's Colleges,Mixed Transfer/Career & Technical-High Traditional,2024,Yes,Tulsa Community College,15568,public,74119,City: Midsize,,0,1,0,0,Enrollment,1130654.0,9010533.0,12615824.0,17070850.0,13286529.0,9095165.59179687,0.0
60,197230.0,Wells College,1868,New York,NY,13026,Rural,Distant,Private,Nonprofit,4-year,,,357.0,0,,0,,Baccalaureate Colleges,Arts & Sciences Focus,2024,No,,,,,,,1,0,0,0,Financial,37184815.0,27331124.0,27521760.0,33185965.0,28778328.0,35695797.0136718,0.0
61,165644.0,Eastern Nazarene College,1900,Massachusetts,MA,2170,Suburb,Large,Private,Nonprofit,4-year,,,535.0,1,Church of the Nazarene,0,,Master's Colleges & Universities,Small Programs,2024,No,,,,,,,1,0,0,0,Financial,19548765.0,19545720.0,18753406.0,19431518.0,19100262.0,19379573.8006896,0.0
62,176770.0,Cox College,1907,Missouri,MO,65802,City,Midsize,Private,Nonprofit,4-year,1.0,1.0,852.0,0,,0,,Special Focus Four-Year,Other Health Professions Schools,2025,Yes,Missouri State University; Ozarks Technical Community College,26486; 11036,public,65897;65802,City: Small,,1,0,0,0,Financial,,,,,,,
63,240462.0,University of Wisconsin–Platteville Richland,1967,Wisconsin,WI,53581,Town,Distant,Public,Nonprofit,4-year,1.0,1.0,6486.0,0,,0,,Master's Colleges & Universities,Larger Programs,2024,No,,,,,,,0,1,0,0,Enrollment,,,,,,,
64,164085.0,Maryland University of Integrative Health,1974,Maryland,MD,20723,Suburb,Large,Private,Nonprofit,graduate school,0.0,1.0,701.0,0,,0,,Special Focus Four-Year,Other Health Professions Schools,2025,Yes,Notre Dame University of Maryland,1836,private nonprofit,21210,City: Large,Catholic,0,0,0,1,Mutual Benefit,,,,,,,
65,,B. H. Carroll Theological Seminary,2004,Texas,TX,76010,City,Midsize,Private,Nonprofit,seminary ,0.0,1.0,,0,,0,,Doctoral/Professional Universities,Faith-Related Institutions,2025,Yes,East Texas Baptist University,1833,private nonprofit,75670,Town: Distant,Baptist,0,0,0,1,Mutual Benefit,,,,,,,
66,166018.0,Hampshire College,1965,Massachusetts,MA,1002,Rural,Small,Private,Nonprofit,4-year,1.0,0.0,844.0,0,,0,,Baccalaureate Colleges,Arts & Sciences Focus,2026,No,,,,,,,1,0,0,0,Financial,58400000.0,57100000.0,54600000.0,55600000.0,39700000.0,32000000.0,26500000.0
67,164492.0,Anna Maria College,1946,Massachusetts,MA,1612,Rural,Small,Private,Nonprofit,4-year,1.0,1.0,1202.0,1,Catholic,0,,Master's Colleges & Universities,Medium Programs,2026,No,,,,,,,1,1,1,0,"Enrollment, Financial, Pandemic",5150000.0,5560000.0,6020000.0,7190000.0,5820000.0,1410000.0,1520000.0
